Total Amount,ArtistName,Date,Country,Age Group,Male,Female,Nonbinary,Unknown
0.0,DEADBOY,"June 14, 2023",WS,18-22,0,0,0,0
0.0,DEADBOY,"June 14, 2023",WS,<18,0,0,0,0
0.0,DEADBOY,"June 14, 2023",WS,35-44,0,0,0,0
0.0,DEADBOY,"June 14, 2023",WS,45-59,0,0,0,0
0.0,DEADBOY,"June 14, 2023",WS,28-34,0,0,0,0
1.0,DEADBOY,"June 14, 2023",WS,23-27,1,0,0,0
0.0,DEADBOY,"June 14, 2023",WS,60+,0,0,0,0
2.0,DEADBOY,"June 14, 2023",PG,23-27,2,0,0,0
0.0,DEADBOY,"June 14, 2023",PG,<18,0,0,0,0
2.0,DEADBOY,"June 14, 2023",PG,18-22,2,0,0,0
1.0,DEADBOY,"June 14, 2023",PG,28-34,1,0,0,0
2.0,DEADBOY,"June 14, 2023",PG,45-59,0,2,0,0
0.0,DEADBOY,"June 14, 2023",PG,60+,0,0,0,0
0.0,DEADBOY,"June 14, 2023",PG,35-44,0,0,0,0
2.0,DEADBOY,"June 14, 2023",TL,18-22,1,1,0,0
1.0,DEADBOY,"June 14, 2023",TL,<18,0,1,0,0
0.0,DEADBOY,"June 14, 2023",TL,28-34,0,0,0,0
0.0,DEADBOY,"June 14, 2023",TL,35-44,0,0,0,0
0.0,DEADBOY,"June 14, 2023",TL,23-27,0,0,0,0
0.0,DEADBOY,"June 14, 2023",TL,45-59,0,0,0,0
0.0,DEADBOY,"June 14, 2023",TL,60+,0,0,0,0
0.0,DEADBOY,"June 14, 2023",SB,<18,0,0,0,0
0.0,DEADBOY,"June 14, 2023",SB,28-34,0,0,0,0
1.0,DEADBOY,"June 14, 2023",SB,23-27,1,0,0,0
0.0,DEADBOY,"June 14, 2023",SB,18-22,0,0,0,0
0.0,DEADBOY,"June 14, 2023",SB,45-59,0,0,0,0
0.0,DEADBOY,"June 14, 2023",SB,60+,0,0,0,0
0.0,DEADBOY,"June 14, 2023",SB,35-44,0,0,0,0
0.0,11:11 Music Group,"June 14, 2023",NR,18-22,0,0,0,0
1.0,11:11 Music Group,"June 14, 2023",NR,<18,1,0,0,0
2.0,11:11 Music Group,"June 14, 2023",NR,23-27,2,0,0,0
3.0,11:11 Music Group,"June 14, 2023",NR,28-34,2,1,0,0
0.0,11:11 Music Group,"June 14, 2023",NR,45-59,0,0,0,0
0.0,11:11 Music Group,"June 14, 2023",NR,35-44,0,0,0,0
0.0,11:11 Music Group,"June 14, 2023",NR,60+,0,0,0,0
4.0,11:11 Music Group,"June 14, 2023",KI,18-22,1,3,0,0
2.0,11:11 Music Group,"June 14, 2023",KI,<18,0,2,0,0
5.0,11:11 Music Group,"June 14, 2023",KI,23-27,2,3,0,0
0.0,11:11 Music Group,"June 14, 2023",KI,35-44,0,0,0,0
0.0,11:11 Music Group,"June 14, 2023",KI,45-59,0,0,0,0
1.0,11:11 Music Group,"June 14, 2023",KI,28-34,0,1,0,0
1.0,11:11 Music Group,"June 14, 2023",KI,60+,1,0,0,0
0.0,DEADBOY,"June 14, 2023",TO,18-22,0,0,0,0
1.0,DEADBOY,"June 14, 2023",TO,28-34,0,1,0,0
1.0,DEADBOY,"June 14, 2023",TO,23-27,0,0,0,1
1.0,DEADBOY,"June 14, 2023",TO,<18,1,0,0,0
0.0,DEADBOY,"June 14, 2023",TO,45-59,0,0,0,0
0.0,DEADBOY,"June 14, 2023",TO,60+,0,0,0,0
0.0,DEADBOY,"June 14, 2023",TO,35-44,0,0,0,0
235.0,DEADBOY,"June 14, 2023",NZ,<18,181,40,9,5
420.0,DEADBOY,"June 14, 2023",NZ,18-22,323,77,12,8
182.0,DEADBOY,"June 14, 2023",NZ,35-44,101,71,7,3
277.0,DEADBOY,"June 14, 2023",NZ,28-34,217,49,1,10
123.0,DEADBOY,"June 14, 2023",NZ,45-59,68,50,2,3
408.0,DEADBOY,"June 14, 2023",NZ,23-27,342,56,6,4
22.0,DEADBOY,"June 14, 2023",NZ,60+,16,3,2,1
