Total Amount,Date,SICK LEGEND,TEKKNO,HYPERTECHNO,TECHNO N TEQUILLA,DRILL GATES,SPED UP DRILL GATES,11:11 Music Group,TWO PUNKS IN LOVE,RAINY JASPER,AMBIENT JASPER,90210,DEADBOY,REAL ARTISTS
260731,"June 19, 2023",149747,60353,7368,74,16991,1958,17403,39,1101,364,20,5313,
260108,"June 18, 2023",149526,60145,7308,73,16932,1959,17366,39,1095,362,20,5283,
259539,"June 17, 2023",149350,59940,7259,69,16869,1960,17327,38,1093,361,20,5253,
0,"June 16, 2023",,,,0,,,0,,0,,,0,
258108,"June 15, 2023",148867,59404,7143,60,16721,1958,17259,34,1085,360,20,5197,
257379,"June 14, 2023",148647,59138,7086,55,16632,1955,17206,34,1078,359,20,5169,
256661,"June 13, 2023",148413,58877,7024,51,16558,1955,17164,33,1069,359,20,5138,
255998,"June 12, 2023",148201,58630,6961,51,16482,1954,17140,33,1062,358,20,5106,
255332,"June 11, 2023",147972,58393,6901,51,16430,1953,17097,32,1052,357,20,5074,
254709,"June 10, 2023",147784,58164,6848,50,16364,1953,17051,30,1042,354,20,5049,
255865,"June 9, 2023",147582,58490,8020,45,16293,1949,17013,29,1039,352,19,5034,
255184,"June 8, 2023",147356,58252,7945,41,16222,1950,16977,28,1035,352,19,5007,
254471,"June 7, 2023",147131,57972,7868,37,16157,1946,16941,27,1032,351,19,4990,
253762,"June 6, 2023",146886,57719,7798,35,16081,1946,16909,27,1027,351,19,4964,
253018,"June 5, 2023",146619,57486,7737,32,15989,1945,16868,26,1023,349,19,4925,
252382,"June 4, 2023",146415,57245,7676,30,15914,1947,16841,26,1017,349,19,4903,
251767,"June 3, 2023",146219,57039,7622,27,15835,1947,16802,25,1013,349,19,4870,
251051,"June 2, 2023",145987,56798,7567,24,15744,1947,16767,24,1008,349,19,4817,
250316,"June 1, 2023",145719,56556,7496,15,15668,1946,16724,24,1006,348,19,4795,
249574,"May 31, 2023",145460,56290,7429,13,15595,1943,16692,23,1001,348,19,4761,
248882,"May 30, 2023",145242,56035,7357,13,15526,1942,16657,22,997,348,19,4724,
248170,"May 29, 2023",144979,55800,7294,13,15449,1942,16614,21,994,347,19,4698,
247473,"May 28, 2023",144754,55568,7197,13,15387,1942,16565,20,990,346,19,4672,
246673,"May 27, 2023",144485,55322,7051,11,15324,1941,16531,20,989,346,19,4634,
245736,"May 26, 2023",144172,55019,6874,10,15257,1940,16498,19,988,346,18,4595,
244841,"May 25, 2023",143861,54761,6706,8,15187,1938,16460,19,987,343,18,4553,
243991,"May 24, 2023",143578,54521,6518,5,15119,1937,16421,19,985,343,18,4527,
243128,"May 23, 2023",143280,54261,6360,4,15036,1935,16388,19,984,343,18,4500,
242405,"May 22, 2023",143025,54025,6252,4,14968,1936,16359,19,981,343,18,4475,
241707,"May 21, 2023",142828,53768,6148,3,14898,1935,16324,19,976,343,18,4447,
241092,"May 20, 2023",142642,53541,6069,3,14846,1936,16282,19,972,344,18,4420,
240330,"May 19, 2023",142417,53240,5977,2,14770,1939,16245,19,973,343,18,4387,
239490,"May 18, 2023",142147,52926,5871,2,14693,1940,16214,19,967,343,18,4350,
238644,"May 17, 2023",141890,52617,5753,1,14599,1940,16185,19,964,342,18,4316,
237769,"May 16, 2023",141608,52299,5635,1,14522,1941,16134,19,963,342,18,4287,
237059,"May 15, 2023",141341,52012,5565,1,14443,1941,16161,19,962,342,18,4254,
236222,"May 14, 2023",141057,51704,5460,1,14372,1937,16130,19,958,342,18,4224,
235505,"May 13, 2023",140822,51442,5388,1,14301,1938,16094,19,956,342,18,4184,
234685,"May 12, 2023",140620,51122,5263,0,14228,1939,16049,19,951,342,17,4135,
233741,"May 11, 2023",140341,50731,5116,0,14177,1938,16023,19,947,342,17,4090,
232813,"May 10, 2023",140066,50360,4988,0,14098,1936,15996,18,943,341,17,4050,
231969,"May 9, 2023",139801,50059,4844,0,14012,1935,15970,18,940,341,17,4032,
231161,"May 8, 2023",139552,49744,4720,0,13938,1934,15945,18,935,341,17,4017,
230276,"May 7, 2023",139281,49441,4538,0,13871,1933,15916,18,927,340,17,3994,
229398,"May 6, 2023",139021,49174,4352,0,13773,1931,15884,18,921,339,17,3968,
228353,"May 5, 2023",138748,48847,4064,0,13698,1928,15850,17,920,339,17,3925,
227403,"May 4, 2023",138482,48570,3855,0,13619,1927,15776,16,918,339,17,3884,
226420,"May 3, 2023",138210,48298,3572,0,13524,1927,15737,16,916,339,17,3864,
225603,"May 2, 2023",137952,48032,3423,0,13442,1928,15706,14,916,337,17,3836,
224930,"May 1, 2023",137703,47782,3376,0,13387,1924,15668,13,914,336,17,3810,
224194,"April 30, 2023",137420,47543,3313,0,13310,1922,15633,13,912,336,17,3775,
223480,"April 29, 2023",137170,47305,3238,0,13231,1919,15601,12,912,336,16,3740,
222637,"April 28, 2023",136885,46989,3156,0,13146,1916,15568,9,909,335,15,3709,
221863,"April 27, 2023",136609,46695,3092,0,13069,1914,15541,8,909,335,15,3676,
221112,"April 26, 2023",136342,46438,3017,0,12988,1909,15509,7,903,335,15,3649,
220388,"April 25, 2023",136070,46198,2947,0,12908,1909,15473,6,900,335,15,3627,
219623,"April 24, 2023",135798,45930,2867,0,12825,1910,15441,6,898,335,14,3599,
218851,"April 23, 2023",135525,45655,2752,0,12773,1908,15407,6,894,334,14,3583,
218099,"April 22, 2023",135250,45379,2684,0,12713,1906,15370,5,893,333,14,3552,
217274,"April 21, 2023",134884,45071,2634,0,12653,1906,15350,5,891,331,14,3535,
216374,"April 20, 2023",134494,44748,2588,0,12589,1906,15301,5,890,330,14,3509,
215527,"April 19, 2023",134117,44493,2516,0,12509,1904,15272,5,888,329,14,3480,
214731,"April 18, 2023",133752,44251,2456,0,12439,1904,15242,5,886,328,14,3454,
214020,"April 17, 2023",133465,44002,2397,0,12387,1901,15205,5,883,327,14,3434,
213229,"April 16, 2023",133161,43729,2346,0,12301,1899,15155,4,882,326,14,3412,
212468,"April 15, 2023",132847,43465,2291,0,12235,1898,15126,4,879,325,13,3385,
211657,"April 14, 2023",132527,43190,2233,0,12162,1897,15079,4,875,323,13,3354,
210729,"April 13, 2023",132122,42859,2170,0,12097,1898,15040,4,874,323,13,3329,
209988,"April 12, 2023",131832,42619,2120,0,12002,1897,15007,4,871,322,13,3301,
209215,"April 11, 2023",131517,42387,2056,0,11902,1895,14978,3,866,322,13,3276,
208526,"April 10, 2023",131201,42190,2011,0,11819,1893,14954,3,862,322,13,3258,
207794,"April 9, 2023",130896,41928,1977,0,11757,1891,14913,3,860,322,12,3235,
207133,"April 8, 2023",130661,41671,1933,0,11685,1888,14889,3,860,320,12,3211,
206404,"April 7, 2023",130366,41421,1881,0,11614,1887,14870,2,860,319,12,3172,
205588,"April 6, 2023",130059,41126,1829,0,11521,1880,14846,2,858,319,11,3137,
204780,"April 5, 2023",129735,40838,1765,0,11452,1878,14817,1,858,318,11,3107,
204005,"April 4, 2023",129405,40577,1706,0,11385,1878,14789,1,855,318,11,3080,
203183,"April 3, 2023",129069,40285,1655,0,11302,1878,14760,1,855,316,11,3051,
202414,"April 2, 2023",128739,40001,1617,0,11247,1877,14738,1,852,314,10,3018,
201580,"April 1, 2023",128435,39682,1575,0,11165,1871,14706,1,848,314,8,2975,
200715,"March 31, 2023",128092,39348,1539,0,11098,1871,14659,1,847,314,7,2939,
199793,"March 30, 2023",127704,39005,1481,0,11038,1871,14625,1,846,312,6,2904,
198887,"March 29, 2023",127285,38709,1427,0,10958,1870,14599,1,844,310,4,2880,
198031,"March 28, 2023",126925,38397,1373,0,10888,1874,14570,1,842,307,3,2851,
197097,"March 27, 2023",126459,38138,1313,0,10799,1875,14538,1,841,307,3,2823,
196185,"March 26, 2023",126037,37831,1269,0,10723,1878,14505,1,842,306,3,2790,
195413,"March 25, 2023",125724,37567,1227,0,10641,1875,14469,1,841,306,3,2759,
194470,"March 24, 2023",125320,37251,1164,0,10559,1874,14428,1,832,306,3,2732,
193527,"March 23, 2023",124921,36919,1090,0,10481,1872,14405,1,829,306,3,2700,
192522,"March 22, 2023",124499,36537,1031,0,10415,1871,14372,1,827,305,3,2661,
191557,"March 21, 2023",124066,36207,990,0,10322,1868,14343,1,824,304,3,2629,
190543,"March 20, 2023",123611,35840,952,0,10229,1867,14317,1,822,304,3,2597,
189573,"March 19, 2023",123197,35503,911,0,10135,1864,14274,1,817,303,3,2565,
188680,"March 18, 2023",122863,35173,852,0,10053,1864,14225,1,817,302,3,2527,
187614,"March 17, 2023",122440,34780,772,0,9955,1864,14181,1,815,302,3,2501,
186450,"March 16, 2023",121974,34358,671,0,9851,1860,14143,1,813,303,3,2473,
185389,"March 15, 2023",121550,33986,577,0,9753,1860,14108,1,812,302,3,2437,
184323,"March 14, 2023",121093,33605,519,0,9667,1856,14064,1,811,300,3,2404,
183300,"March 13, 2023",120620,33260,471,0,9570,1857,14031,1,809,300,3,2378,
182351,"March 12, 2023",120206,32941,423,0,9491,1858,13975,1,808,299,3,2346,
181341,"March 11, 2023",119773,32592,384,0,9398,1856,13924,1,807,298,3,2305,
180302,"March 10, 2023",119339,32228,331,0,9306,1855,13870,1,805,298,3,2266,
179214,"March 9, 2023",118830,31858,287,0,9219,1856,13828,1,803,298,3,2231,
