Total Amount,Date,SICK LEGEND,TEKKNO,HYPERTECHNO,TECHNO N TEQUILLA,DRILL GATES,SPED UP DRILL GATES,11:11 Music Group,TWO PUNKS IN LOVE,RAINY JASPER,AMBIENT JASPER,90210,DEADBOY,REAL ARTISTS
1600908,"June 19, 2023",517044,252900,45313,2199,178150,1520,563705,77,3504,1495,14,34987,
1382150,"June 18, 2023",408718,203521,37960,1814,156187,1356,535202,89,3206,1356,12,32729,
1532141,"June 17, 2023",476550,248042,45575,2098,167763,1950,550570,82,2981,1357,15,35158,
1655129,"June 16, 2023",544391,280768,51287,2153,174327,1573,558470,77,3144,1531,14,37394,
1613025,"June 15, 2023",531548,258950,48774,1978,172005,1551,555123,94,3411,1602,16,37973,
1589900,"June 14, 2023",515222,262556,50696,1879,164493,1400,545940,75,3505,1527,14,42593,
1580124,"June 13, 2023",512521,258161,51388,1878,167243,1758,540149,101,3332,1599,12,41982,
1554124,"June 12, 2023",498260,250320,53374,1832,161905,1575,542443,103,3487,1526,7,39292,
1355607,"June 11, 2023",390949,213277,37632,1643,158181,1079,513210,82,3132,1407,15,35000,
1483585,"June 10, 2023",454191,244581,44124,1730,155850,1218,535537,163,3130,1374,19,41668,
1616627,"June 9, 2023",529047,271501,47053,1952,170231,1805,549237,171,3195,1535,7,40893,
1548749,"June 8, 2023",514648,252338,44996,1706,156278,1700,536400,164,3454,1640,10,35415,
1589496,"June 7, 2023",538064,269487,47395,1676,158076,1934,532723,80,3671,1555,10,34825,
1601701,"June 6, 2023",530378,267701,52168,1584,171965,1824,534595,75,3619,1530,9,36253,
1570799,"June 5, 2023",523707,268619,48175,1441,168354,1851,516682,71,3830,1729,17,36323,
1390795,"June 4, 2023",418613,227655,40123,1348,158515,1723,504481,74,3535,1456,12,33260,
1551585,"June 3, 2023",492632,268838,48671,1613,176823,1824,518175,67,3430,1401,11,38100,
1653635,"June 2, 2023",559530,290249,52236,1795,171977,1898,533134,76,3510,2113,8,37109,
1618525,"June 1, 2023",538256,283715,51061,1558,167496,1708,531233,82,3731,1505,12,38168,
1499357,"May 31, 2023",498610,258266,40719,1399,141489,1639,517782,73,3762,1337,12,34269,
1479818,"May 30, 2023",497374,250775,40562,1323,137626,1558,510800,76,3998,1419,12,34295,
1410225,"May 29, 2023",475575,214206,35286,1152,131496,1638,512576,83,3851,1429,15,32918,
1302476,"May 28, 2023",407777,212573,31807,1044,119614,1658,492912,61,3501,1318,15,30196,
1435240,"May 27, 2023",469608,247371,37020,1127,124841,1490,516091,71,3440,1295,17,32869,
1590516,"May 26, 2023",559002,289307,40634,1166,128562,1478,530153,69,3806,1340,17,34982,
1474115,"May 25, 2023",506838,237109,36572,856,125825,1877,526313,91,3630,2027,13,32964,
1497262,"May 24, 2023",517277,241610,36821,718,129387,1683,532130,107,3998,1633,15,31883,
