Total Amount,Date,SICK LEGEND,TEKKNO,HYPERTECHNO,TECHNO N TEQUILLA,DRILL GATES,SPED UP DRILL GATES,11:11 Music Group,TWO PUNKS IN LOVE,RAINY JASPER,AMBIENT JASPER,90210,DEADBOY,REAL ARTISTS
4355558,"June 19, 2023",1475275,627441,146109,3988,369663,2408,1041178,155,550955,76754,15,61617,
3702168,"June 18, 2023",1111270,497576,121115,3013,327098,1859,988672,213,522490,70715,14,58133,
4058779,"June 17, 2023",1300356,615061,153114,3709,353424,2576,997329,144,506196,64295,21,62554,
4394572,"June 16, 2023",1534782,705831,172371,3965,363246,2212,1001860,151,465344,76781,15,68014,
4360916,"June 15, 2023",1496969,650762,164541,3499,364716,2289,981442,170,541294,87496,24,67714,
4256356,"June 14, 2023",1461112,646236,163490,3359,350621,1996,946888,192,533034,75793,17,73618,
4226407,"June 13, 2023",1468576,640513,156907,3387,354923,2529,938649,173,510016,78058,12,72664,
4208443,"June 12, 2023",1423727,615110,161406,3337,343116,2234,947584,197,564522,77810,9,69391,
3609667,"June 11, 2023",1072428,515130,123177,2883,332053,1633,898033,120,533201,70240,17,60752,
3909885,"June 10, 2023",1252777,598029,143803,3219,333826,1714,917584,792,519454,66404,25,72258,
4327558,"June 9, 2023",1493134,678300,161598,3621,363079,2466,942990,1429,531996,76792,13,72140,
4223225,"June 8, 2023",1456786,622152,152517,3153,331151,2343,931372,393,567689,92078,12,63579,
4327340,"June 7, 2023",1532783,665368,157268,3299,335318,2601,915254,157,564656,85717,23,64896,
4300365,"June 6, 2023",1520307,656531,157660,3199,362743,2421,922485,151,518599,89684,12,66573,
4309149,"June 5, 2023",1511916,666001,147501,2789,356779,2542,897203,127,576688,81761,21,65821,
3708529,"June 4, 2023",1162692,544176,122289,2527,340741,2488,880833,199,518882,72389,14,61299,
4067814,"June 3, 2023",1363155,661106,151332,3015,370427,2775,896278,155,481159,69893,12,68507,
4430639,"June 2, 2023",1593338,726777,167486,3376,365305,2808,907409,127,519739,74825,9,69440,
4361749,"June 1, 2023",1547930,701206,155060,2961,351297,2394,910162,140,531938,88808,13,69840,
4064392,"May 31, 2023",1454191,643578,136116,3035,299092,2237,888439,132,496389,76980,17,64186,
4087837,"May 30, 2023",1464066,628042,129012,2691,289819,2215,893348,191,534310,78212,20,65911,
3896147,"May 29, 2023",1385318,534667,108466,2408,282038,2387,891997,151,540861,85758,39,62057,
3530636,"May 28, 2023",1159559,531802,101449,2155,254500,2514,859905,134,488874,73539,19,56186,
3858312,"May 27, 2023",1344188,633221,117860,2496,267006,2349,884762,124,467848,75234,19,63205,
4339102,"May 26, 2023",1621947,740286,139103,2417,274822,2304,899184,110,512729,78324,25,67851,
4045868,"May 25, 2023",1490192,608075,125526,1678,268496,2496,905576,152,500587,80503,33,62554,
4156418,"May 24, 2023",1534715,618125,120049,1389,282282,2319,915541,177,535891,86597,18,59315,
4162935,"May 23, 2023",1538505,604812,115430,1318,282200,2228,924608,176,539366,92539,20,61733,
4082181,"May 22, 2023",1483698,600434,130078,1178,272479,2171,906516,150,529475,93048,21,62933,
3561542,"May 21, 2023",1137555,523787,114692,902,265522,2176,907169,131,481610,67380,19,60599,
3874540,"May 20, 2023",1323193,623637,139530,1038,283954,3299,920138,128,449101,65392,11,65119,
4186412,"May 19, 2023",1519511,645310,151278,1231,315656,2501,905955,137,481665,80961,15,82192,
4139183,"May 18, 2023",1458630,601766,136712,624,322064,3080,913955,128,529531,92871,8,79814,
4360060,"May 17, 2023",1589442,686687,153356,326,325322,2373,923658,137,523555,74086,19,81099,
4242691,"May 16, 2023",1571366,614311,139024,338,303839,2440,916084,126,523536,88933,13,82681,
4203876,"May 15, 2023",1529597,627270,128467,284,306447,2425,917974,130,531525,80061,16,79680,
3579401,"May 14, 2023",1136933,509723,106028,246,304731,2528,892096,110,488563,67813,12,70618,
3980371,"May 13, 2023",1364388,633190,136347,182,323967,2796,903685,102,468457,70003,162,77092,
