Total Amount,Date,SICK LEGEND,TEKKNO,HYPERTECHNO,TECHNO N TEQUILLA,DRILL GATES,SPED UP DRILL GATES,11:11 Music Group,TWO PUNKS IN LOVE,RAINY JASPER,AMBIENT JASPER,90210,DEADBOY,REAL ARTISTS,Source
4355558,"June 19, 2023",1475275.0,627441.0,146109.0,3988,369663.0,2408.0,1041178,155.0,550955,76754.0,15.0,61617,,STREAMS
3702168,"June 18, 2023",1111270.0,497576.0,121115.0,3013,327098.0,1859.0,988672,213.0,522490,70715.0,14.0,58133,,STREAMS
4058779,"June 17, 2023",1300356.0,615061.0,153114.0,3709,353424.0,2576.0,997329,144.0,506196,64295.0,21.0,62554,,STREAMS
4394572,"June 16, 2023",1534782.0,705831.0,172371.0,3965,363246.0,2212.0,1001860,151.0,465344,76781.0,15.0,68014,,STREAMS
4360916,"June 15, 2023",1496969.0,650762.0,164541.0,3499,364716.0,2289.0,981442,170.0,541294,87496.0,24.0,67714,,STREAMS
4256356,"June 14, 2023",1461112.0,646236.0,163490.0,3359,350621.0,1996.0,946888,192.0,533034,75793.0,17.0,73618,,STREAMS
4226407,"June 13, 2023",1468576.0,640513.0,156907.0,3387,354923.0,2529.0,938649,173.0,510016,78058.0,12.0,72664,,STREAMS
4208443,"June 12, 2023",1423727.0,615110.0,161406.0,3337,343116.0,2234.0,947584,197.0,564522,77810.0,9.0,69391,,STREAMS
3609667,"June 11, 2023",1072428.0,515130.0,123177.0,2883,332053.0,1633.0,898033,120.0,533201,70240.0,17.0,60752,,STREAMS
3909885,"June 10, 2023",1252777.0,598029.0,143803.0,3219,333826.0,1714.0,917584,792.0,519454,66404.0,25.0,72258,,STREAMS
4327558,"June 9, 2023",1493134.0,678300.0,161598.0,3621,363079.0,2466.0,942990,1429.0,531996,76792.0,13.0,72140,,STREAMS
4223225,"June 8, 2023",1456786.0,622152.0,152517.0,3153,331151.0,2343.0,931372,393.0,567689,92078.0,12.0,63579,,STREAMS
4327340,"June 7, 2023",1532783.0,665368.0,157268.0,3299,335318.0,2601.0,915254,157.0,564656,85717.0,23.0,64896,,STREAMS
4300365,"June 6, 2023",1520307.0,656531.0,157660.0,3199,362743.0,2421.0,922485,151.0,518599,89684.0,12.0,66573,,STREAMS
4309149,"June 5, 2023",1511916.0,666001.0,147501.0,2789,356779.0,2542.0,897203,127.0,576688,81761.0,21.0,65821,,STREAMS
3708529,"June 4, 2023",1162692.0,544176.0,122289.0,2527,340741.0,2488.0,880833,199.0,518882,72389.0,14.0,61299,,STREAMS
4067814,"June 3, 2023",1363155.0,661106.0,151332.0,3015,370427.0,2775.0,896278,155.0,481159,69893.0,12.0,68507,,STREAMS
4430639,"June 2, 2023",1593338.0,726777.0,167486.0,3376,365305.0,2808.0,907409,127.0,519739,74825.0,9.0,69440,,STREAMS
4361749,"June 1, 2023",1547930.0,701206.0,155060.0,2961,351297.0,2394.0,910162,140.0,531938,88808.0,13.0,69840,,STREAMS
4064392,"May 31, 2023",1454191.0,643578.0,136116.0,3035,299092.0,2237.0,888439,132.0,496389,76980.0,17.0,64186,,STREAMS
4087837,"May 30, 2023",1464066.0,628042.0,129012.0,2691,289819.0,2215.0,893348,191.0,534310,78212.0,20.0,65911,,STREAMS
3896147,"May 29, 2023",1385318.0,534667.0,108466.0,2408,282038.0,2387.0,891997,151.0,540861,85758.0,39.0,62057,,STREAMS
3530636,"May 28, 2023",1159559.0,531802.0,101449.0,2155,254500.0,2514.0,859905,134.0,488874,73539.0,19.0,56186,,STREAMS
3858312,"May 27, 2023",1344188.0,633221.0,117860.0,2496,267006.0,2349.0,884762,124.0,467848,75234.0,19.0,63205,,STREAMS
4339102,"May 26, 2023",1621947.0,740286.0,139103.0,2417,274822.0,2304.0,899184,110.0,512729,78324.0,25.0,67851,,STREAMS
4045868,"May 25, 2023",1490192.0,608075.0,125526.0,1678,268496.0,2496.0,905576,152.0,500587,80503.0,33.0,62554,,STREAMS
4156418,"May 24, 2023",1534715.0,618125.0,120049.0,1389,282282.0,2319.0,915541,177.0,535891,86597.0,18.0,59315,,STREAMS
4162935,"May 23, 2023",1538505.0,604812.0,115430.0,1318,282200.0,2228.0,924608,176.0,539366,92539.0,20.0,61733,,STREAMS
4082181,"May 22, 2023",1483698.0,600434.0,130078.0,1178,272479.0,2171.0,906516,150.0,529475,93048.0,21.0,62933,,STREAMS
3561542,"May 21, 2023",1137555.0,523787.0,114692.0,902,265522.0,2176.0,907169,131.0,481610,67380.0,19.0,60599,,STREAMS
3874540,"May 20, 2023",1323193.0,623637.0,139530.0,1038,283954.0,3299.0,920138,128.0,449101,65392.0,11.0,65119,,STREAMS
4186412,"May 19, 2023",1519511.0,645310.0,151278.0,1231,315656.0,2501.0,905955,137.0,481665,80961.0,15.0,82192,,STREAMS
4139183,"May 18, 2023",1458630.0,601766.0,136712.0,624,322064.0,3080.0,913955,128.0,529531,92871.0,8.0,79814,,STREAMS
4360060,"May 17, 2023",1589442.0,686687.0,153356.0,326,325322.0,2373.0,923658,137.0,523555,74086.0,19.0,81099,,STREAMS
4242691,"May 16, 2023",1571366.0,614311.0,139024.0,338,303839.0,2440.0,916084,126.0,523536,88933.0,13.0,82681,,STREAMS
4203876,"May 15, 2023",1529597.0,627270.0,128467.0,284,306447.0,2425.0,917974,130.0,531525,80061.0,16.0,79680,,STREAMS
3579401,"May 14, 2023",1136933.0,509723.0,106028.0,246,304731.0,2528.0,892096,110.0,488563,67813.0,12.0,70618,,STREAMS
3980371,"May 13, 2023",1364388.0,633190.0,136347.0,182,323967.0,2796.0,903685,102.0,468457,70003.0,162.0,77092,,STREAMS
4370728,"May 12, 2023",1605392.0,743014.0,144733.0,95,326753.0,2657.0,910250,109.0,483345,79438.0,23.0,74919,,STREAMS
4238260,"May 11, 2023",1531860.0,657999.0,126904.0,18,318320.0,2456.0,907203,182.0,535611,84898.0,23.0,72786,,STREAMS
4293636,"May 10, 2023",1609077.0,647966.0,131936.0,33,337216.0,2526.0,905074,162.0,510812,81748.0,20.0,67066,,STREAMS
4238922,"May 9, 2023",1623343.0,645191.0,125668.0,29,329041.0,2463.0,896272,196.0,472712,80096.0,24.0,63887,,STREAMS
4270492,"May 8, 2023",1607020.0,634238.0,121266.0,27,339506.0,2426.0,922326,190.0,501702,77919.0,28.0,63844,,STREAMS
3707343,"May 7, 2023",1238493.0,500630.0,96172.0,19,340424.0,2770.0,907662,167.0,490960,67980.0,33.0,62033,,STREAMS
4062661,"May 6, 2023",1450987.0,642718.0,112946.0,17,361647.0,2922.0,935794,292.0,431583,58138.0,41.0,65576,,STREAMS
4355252,"May 5, 2023",1665797.0,692077.0,125123.0,44,357093.0,2830.0,956427,341.0,424616,63642.0,25.0,67237,,STREAMS
4102713,"May 4, 2023",1619910.0,599738.0,121801.0,25,320799.0,3038.0,931579,458.0,363335,73897.0,22.0,68111,,STREAMS
4053718,"May 3, 2023",1502651.0,580199.0,111674.0,11,282860.0,3311.0,929760,449.0,508382,73742.0,25.0,60654,,STREAMS
3943820,"May 2, 2023",1464098.0,567504.0,105802.0,0,286127.0,3138.0,919412,259.0,467014,67329.0,24.0,63113,,STREAMS
3683204,"May 1, 2023",1261811.0,467974.0,93133.0,0,290669.0,3340.0,938341,251.0,501885,64069.0,19.0,61712,,STREAMS
3541301,"April 30, 2023",1161550.0,507709.0,92175.0,0,283501.0,3636.0,907477,288.0,463643,62316.0,23.0,58983,,STREAMS
3793566,"April 29, 2023",1341730.0,572757.0,100882.0,0,301198.0,3735.0,938968,361.0,414809,56628.0,27.0,62471,,STREAMS
4216278,"April 28, 2023",1535031.0,653804.0,110075.0,0,304962.0,4022.0,965015,266.0,509310,70215.0,18.0,63560,,STREAMS
4101535,"April 27, 2023",1516356.0,574667.0,104113.0,0,283631.0,3379.0,968571,142.0,505744,83711.0,19.0,61202,,STREAMS
